Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Zavala Elementary,78702,03/15/2019,99,"310 ROBERT T MARTINEZ JR ST AUSTIN, TX 78702 (30.257951, -97.719717)",2800300,Routine Inspection
Maki Toki,78758,07/31/2018,92,"1910 W BRAKER LN AUSTIN, TX 78758 (30.392008, -97.707343)",10545223,Routine Inspection
Hula Hut,78703,10/01/2019,70,"3825 LAKE AUSTIN BLVD AUSTIN, TX 78703 (30.295571, -97.783772)",2800563,Routine Inspection
Taos Co-Op,78705,11/19/2018,92,"2612 GUADALUPE ST AUSTIN, TX 78705 (30.291477, -97.741218)",2800402,Routine Inspection
Subway,78753,07/18/2018,85,"900 E BRAKER LN AUSTIN, TX 78753 (30.376148, -97.673817)",10384742,Routine Inspection
Pappadeaux Seafood Kitchen #3,78752,01/29/2020,97,"6319 N IH AUSTIN, TX 78752",2800247,Routine Inspection
Rhino Room,78702,05/15/2018,95,"1012 E 6TH ST AUSTIN, TX 78702 (30.264856, -97.731799)",11335349,Routine Inspection
Summermoon Coffee Bar,78726,07/13/2020,96,"8300 N FM 620 RD AUSTIN, TX 78726 (30.4204, -97.84557)",11872695,Routine Inspection
Conans Pizza North,78757,04/18/2018,88,"2438 W ANDERSON LN AUSTIN, TX 78757 (30.356395, -97.731374)",2800122,Routine Inspection
Starbucks Coffee #9676,78729,11/09/2018,100,"6301 W PARMER LN AUSTIN, TX 78729 (30.445314, -97.743259)",2802673,Routine Inspection
Taco Cabana #199,78748,07/29/2020,89,"9705 MANCHACA RD AUSTIN, TX 78748 (30.17531, -97.823023)",2801240,Routine Inspection
Whole Foods Market - Grocery,78749,06/06/2019,100,"4301 W WILLIAM CANNON DR AUSTIN, TX 78749 (30.222178, -97.838856)",10764431,Routine Inspection
7-Eleven Convenience Store #36265A,78759,04/23/2018,86,"11587 JOLLYVILLE RD AUSTIN, TX 78759 (30.416148, -97.748802)",11348526,Routine Inspection
BC - World Market #276,78738,08/17/2018,98,"12700 SHOPS PKWY BEE CAVE, TX 78738 (30.304866, -97.940164)",10262080,Routine Inspection
WL - Chipotle Mexican Grill #43,78746,04/19/2019,97,"3300 BEE CAVES RD WEST LAKE HILLS, TX 78746 (30.2749, -97.801111)",10179442,Routine Inspection
Arby's,78729,11/27/2019,96,"13201 N FM 620 RD AUSTIN, TX 78729",11848079,Routine Inspection
Lost Creek Country Club,78746,02/02/2018,95,"2612 LOST CREEK BLVD AUSTIN, TX 78746 (30.275231, -97.843793)",2800703,Routine Inspection
Great Harvest Bread Company,78746,12/17/2018,92,"3201 BEE CAVES RD AUSTIN, TX 78746 (30.273599, -97.799243)",11860318,Routine Inspection
Foodspot 1 Grocery Inc,78741,03/15/2019,98,"2223 BURTON DR AUSTIN, TX 78741 (30.231197, -97.733657)",12030736,Routine Inspection
Tapioca House,78705,05/26/2020,80,"1906 GUADALUPE ST AUSTIN, TX 78705 (30.2825, -97.742091)",11809319,Routine Inspection
Sarpino's Pizzeria,78750,03/04/2020,91,"10401 ANDERSON MILL RD AUSTIN, TX 78750 (30.447139, -97.80562)",10461046,Routine Inspection
SV - Sunset Valley Elementary,78745,02/21/2018,96,"3000 JONES RD SUNSET VALLEY, TX 78745 (30.227187, -97.807096)",2800490,Routine Inspection
MN - Manor Grocery,78653,07/13/2018,96,"102 E PARSONS ST MANOR, TX 78653 (30.341012, -97.557364)",11376079,Routine Inspection
TopGolf USA Austin,78758,12/20/2018,94,"2700 ESPERANZA XING AUSTIN, TX 78758 (30.397697, -97.717839)",10910024,Routine Inspection
B B Rover's Intl. Cafe,78759,07/17/2018,70,"12636 RESEARCH BLVD AUSTIN, TX 78759 (30.431004, -97.763845)",2800079,Routine Inspection
Martin Jr High,78702,09/19/2019,100,"1601 HASKELL ST AUSTIN, TX 78702 (30.253655, -97.729745)",2800327,Routine Inspection
BC - Silverado,78738,02/25/2020,92,"14058 BEE CAVE PKWY BEE CAVE, TX 78738 (30.311354, -97.964223)",11511902,Routine Inspection
St David's Medical Center Cafe,78705,10/20/2020,93,"919 E 32ND ST AUSTIN, TX 78705 (30.290447, -97.72587)",2801177,Routine Inspection
Palm Elementary School,78744,11/26/2018,99,"7601 DIXIE DR AUSTIN, TX 78744 (30.164857, -97.744541)",2800054,Routine Inspection
Slake,78701,11/20/2019,78,"120 E 7TH ST AUSTIN, TX 78701 (30.268676, -97.741352)",10896418,Routine Inspection
Azul Tequila,78731,04/27/2020,97,"3815 DRY CREEK DR AUSTIN, TX 78731 (30.343123, -97.763898)",11067426,Routine Inspection
Hacienda Jalisco,78757,06/30/2020,85,"8766 RESEARCH BLVD AUSTIN, TX 78757 (30.366565, -97.71876)",11675649,Routine Inspection
"Cenote2, LLC",78723,11/25/2019,91,"6214 CAMERON RD AUSTIN, TX 78723 (30.320218, -97.696456)",11744370,Routine Inspection
